INFO 2025-04-12 17:32:17,854 autoreload 10704 17548 Watching for file changes with StatReloader
INFO 2025-04-12 17:34:36,784 basehttp 10704 4804 "GET /static/mapapp/images/down-arrow.svg HTTP/1.1" 304 0
INFO 2025-04-12 17:34:36,786 basehttp 10704 15508 "GET /static/mapapp/js/index.js HTTP/1.1" 304 0
INFO 2025-04-12 17:34:36,914 basehttp 10704 8064 "GET /static/mapapp/js/countryLayer.js HTTP/1.1" 304 0
INFO 2025-04-12 17:34:36,914 basehttp 10704 15508 "GET /static/mapapp/js/mapSetup.js HTTP/1.1" 304 0
INFO 2025-04-12 17:34:36,914 basehttp 10704 4804 "GET /static/mapapp/js/modalHandler.js HTTP/1.1" 304 0
INFO 2025-04-12 17:34:36,931 basehttp 10704 15508 "GET /static/mapapp/js/eventDisplay.js HTTP/1.1" 304 0
INFO 2025-04-12 17:34:36,931 basehttp 10704 8064 "GET /static/mapapp/js/soldierHandler.js HTTP/1.1" 304 0
INFO 2025-04-12 17:34:36,962 basehttp 10704 4804 "GET /static/mapapp/js/countryClickHandler.js HTTP/1.1" 200 3177
INFO 2025-04-12 17:34:36,966 basehttp 10704 4804 "GET /static/mapapp/js/countryCodeMapping.js HTTP/1.1" 304 0
INFO 2025-04-12 17:34:38,382 basehttp 10704 4804 "GET /events/ HTTP/1.1" 302 0
INFO 2025-04-12 17:34:38,395 basehttp 10704 8064 "GET /he/events/ HTTP/1.1" 200 120
WARNING 2025-04-12 17:34:39,623 log 10704 8064 Not Found: /api/events/
WARNING 2025-04-12 17:34:39,626 log 10704 15508 Not Found: /api/soldiers/
WARNING 2025-04-12 17:34:39,627 basehttp 10704 8064 "GET /api/events/ HTTP/1.1" 404 2353
WARNING 2025-04-12 17:34:39,627 basehttp 10704 15508 "GET /api/soldiers/ HTTP/1.1" 404 2359
WARNING 2025-04-12 17:34:43,762 log 10704 15508 Not Found: /api/events/
WARNING 2025-04-12 17:34:43,765 log 10704 8064 Not Found: /api/soldiers/
WARNING 2025-04-12 17:34:43,769 basehttp 10704 15508 "GET /api/events/ HTTP/1.1" 404 2353
WARNING 2025-04-12 17:34:43,779 basehttp 10704 8064 "GET /api/soldiers/ HTTP/1.1" 404 2359
WARNING 2025-04-12 17:34:52,984 log 10704 8064 Not Found: /api/events/
WARNING 2025-04-12 17:34:52,993 log 10704 15508 Not Found: /api/soldiers/
WARNING 2025-04-12 17:34:52,998 basehttp 10704 8064 "GET /api/events/ HTTP/1.1" 404 2353
WARNING 2025-04-12 17:34:52,999 basehttp 10704 15508 "GET /api/soldiers/ HTTP/1.1" 404 2359
INFO 2025-04-12 17:35:14,915 basehttp 10704 15508 "GET /he/ww2map/ HTTP/1.1" 200 3434
INFO 2025-04-12 17:35:15,054 basehttp 10704 15508 "GET /static/mapapp/js/countryClickHandler.js HTTP/1.1" 200 3036
INFO 2025-04-12 17:35:15,988 basehttp 10704 15508 "GET /events/ HTTP/1.1" 302 0
INFO 2025-04-12 17:35:15,992 basehttp 10704 8064 "GET /he/events/ HTTP/1.1" 200 120
INFO 2025-04-12 17:35:17,420 basehttp 10704 19172 "GET /soldiers/ HTTP/1.1" 302 0
INFO 2025-04-12 17:35:17,420 basehttp 10704 8064 "GET /events/ HTTP/1.1" 302 0
INFO 2025-04-12 17:35:17,432 basehttp 10704 5104 "GET /he/events/ HTTP/1.1" 200 120
INFO 2025-04-12 17:35:17,434 basehttp 10704 20120 "GET /he/soldiers/ HTTP/1.1" 200 5731
INFO 2025-04-12 17:35:34,339 basehttp 10704 20120 "GET /he/ww2map/ HTTP/1.1" 200 3434
INFO 2025-04-12 17:35:34,399 basehttp 10704 20120 "GET /static/mapapp/js/countryClickHandler.js HTTP/1.1" 304 0
INFO 2025-04-12 17:35:35,311 basehttp 10704 20120 "GET /events/ HTTP/1.1" 302 0
INFO 2025-04-12 17:35:35,321 basehttp 10704 5104 "GET /he/events/ HTTP/1.1" 200 120
INFO 2025-04-12 17:35:38,680 basehttp 10704 5104 "GET /events/ HTTP/1.1" 302 0
INFO 2025-04-12 17:35:38,680 basehttp 10704 21172 "GET /soldiers/ HTTP/1.1" 302 0
INFO 2025-04-12 17:35:38,692 basehttp 10704 16696 "GET /he/events/ HTTP/1.1" 200 120
INFO 2025-04-12 17:35:38,692 basehttp 10704 12364 "GET /he/soldiers/ HTTP/1.1" 200 5731
INFO 2025-04-12 17:35:43,556 basehttp 10704 12364 "GET /he/ww2map/ HTTP/1.1" 200 3434
INFO 2025-04-12 17:35:43,620 basehttp 10704 12364 "GET /static/mapapp/js/countryClickHandler.js HTTP/1.1" 304 0
INFO 2025-04-12 17:35:44,494 basehttp 10704 12364 "GET /events/ HTTP/1.1" 302 0
INFO 2025-04-12 17:35:44,504 basehttp 10704 16696 "GET /he/events/ HTTP/1.1" 200 120
INFO 2025-04-12 17:35:52,027 basehttp 10704 16696 "GET /events/ HTTP/1.1" 302 0
INFO 2025-04-12 17:35:52,027 basehttp 10704 13968 "GET /soldiers/ HTTP/1.1" 302 0
INFO 2025-04-12 17:35:52,036 basehttp 10704 12484 "GET /he/events/ HTTP/1.1" 200 120
INFO 2025-04-12 17:35:52,042 basehttp 10704 6240 "GET /he/soldiers/ HTTP/1.1" 200 5731
INFO 2025-04-12 17:36:00,645 basehttp 10704 6240 "GET /events/ HTTP/1.1" 302 0
INFO 2025-04-12 17:36:00,645 basehttp 10704 12484 "GET /soldiers/ HTTP/1.1" 302 0
INFO 2025-04-12 17:36:00,668 basehttp 10704 4348 "GET /he/events/ HTTP/1.1" 200 120
INFO 2025-04-12 17:36:00,671 basehttp 10704 19536 "GET /he/soldiers/ HTTP/1.1" 200 5731
INFO 2025-04-12 17:36:44,549 basehttp 10704 19536 "GET /static/mapapp/css/styles.css HTTP/1.1" 304 0
INFO 2025-04-12 17:36:50,922 basehttp 10704 4348 "GET /soldiers/ HTTP/1.1" 302 0
INFO 2025-04-12 17:36:50,922 basehttp 10704 19536 "GET /events/ HTTP/1.1" 302 0
INFO 2025-04-12 17:36:50,933 basehttp 10704 5740 "GET /he/events/ HTTP/1.1" 200 120
INFO 2025-04-12 17:36:50,935 basehttp 10704 17312 "GET /he/soldiers/ HTTP/1.1" 200 5731
INFO 2025-04-12 17:38:23,275 basehttp 10704 17312 "GET /he/ww2map/ HTTP/1.1" 200 3434
INFO 2025-04-12 17:38:23,328 basehttp 10704 17312 "GET /static/mapapp/images/down-arrow.svg HTTP/1.1" 304 0
INFO 2025-04-12 17:38:23,328 basehttp 10704 5740 "GET /static/mapapp/images/logo.svg HTTP/1.1" 304 0
INFO 2025-04-12 17:38:23,328 basehttp 10704 940 "GET /static/mapapp/js/index.js HTTP/1.1" 304 0
INFO 2025-04-12 17:38:23,450 basehttp 10704 940 "GET /static/mapapp/js/mapSetup.js HTTP/1.1" 304 0
INFO 2025-04-12 17:38:23,450 basehttp 10704 5740 "GET /static/mapapp/js/countryLayer.js HTTP/1.1" 304 0
INFO 2025-04-12 17:38:23,451 basehttp 10704 17312 "GET /static/mapapp/js/modalHandler.js HTTP/1.1" 200 6615
INFO 2025-04-12 17:38:23,458 basehttp 10704 17312 "GET /static/mapapp/js/countryClickHandler.js HTTP/1.1" 200 3366
INFO 2025-04-12 17:38:23,459 basehttp 10704 940 "GET /static/mapapp/js/eventDisplay.js HTTP/1.1" 304 0
INFO 2025-04-12 17:38:23,461 basehttp 10704 5740 "GET /static/mapapp/js/soldierHandler.js HTTP/1.1" 304 0
INFO 2025-04-12 17:38:23,469 basehttp 10704 5740 "GET /static/mapapp/js/countryCodeMapping.js HTTP/1.1" 304 0
INFO 2025-04-12 17:38:24,337 basehttp 10704 5740 "GET /events/ HTTP/1.1" 302 0
INFO 2025-04-12 17:38:24,342 basehttp 10704 940 "GET /he/events/ HTTP/1.1" 200 120
INFO 2025-04-12 17:38:27,476 basehttp 10704 940 "GET /events/ HTTP/1.1" 302 0
INFO 2025-04-12 17:38:27,476 basehttp 10704 17312 "GET /soldiers/ HTTP/1.1" 302 0
INFO 2025-04-12 17:38:27,488 basehttp 10704 12020 "GET /he/events/ HTTP/1.1" 200 120
INFO 2025-04-12 17:38:27,491 basehttp 10704 14736 "GET /he/soldiers/ HTTP/1.1" 200 5731
INFO 2025-04-12 17:38:27,499 basehttp 10704 14736 "GET /static/mapapp/images/paper-bg.jpg HTTP/1.1" 304 0
INFO 2025-04-12 17:38:32,495 basehttp 10704 12020 "GET /soldiers/ HTTP/1.1" 302 0
INFO 2025-04-12 17:38:32,495 basehttp 10704 14736 "GET /events/ HTTP/1.1" 302 0
INFO 2025-04-12 17:38:32,526 basehttp 10704 16964 "GET /he/events/ HTTP/1.1" 200 120
INFO 2025-04-12 17:38:32,533 basehttp 10704 16864 "GET /he/soldiers/ HTTP/1.1" 200 5731
INFO 2025-04-12 17:38:40,086 basehttp 10704 16864 "GET /events/ HTTP/1.1" 302 0
INFO 2025-04-12 17:38:40,086 basehttp 10704 16964 "GET /soldiers/ HTTP/1.1" 302 0
INFO 2025-04-12 17:38:40,101 basehttp 10704 2408 "GET /he/events/ HTTP/1.1" 200 120
INFO 2025-04-12 17:38:40,101 basehttp 10704 11136 "GET /he/soldiers/ HTTP/1.1" 200 5731
INFO 2025-04-12 17:38:42,792 basehttp 10704 11136 "GET /events/ HTTP/1.1" 302 0
INFO 2025-04-12 17:38:42,792 basehttp 10704 2408 "GET /soldiers/ HTTP/1.1" 302 0
INFO 2025-04-12 17:38:42,803 basehttp 10704 9948 "GET /he/events/ HTTP/1.1" 200 120
INFO 2025-04-12 17:38:42,807 basehttp 10704 8280 "GET /he/soldiers/ HTTP/1.1" 200 5731
INFO 2025-04-12 17:39:15,525 basehttp 10704 8280 "GET /events/ HTTP/1.1" 302 0
INFO 2025-04-12 17:39:15,526 basehttp 10704 9948 "GET /soldiers/ HTTP/1.1" 302 0
INFO 2025-04-12 17:39:15,567 basehttp 10704 2380 "GET /he/events/ HTTP/1.1" 200 120
INFO 2025-04-12 17:39:15,571 basehttp 10704 16520 "GET /he/soldiers/ HTTP/1.1" 200 5731
INFO 2025-04-12 17:39:19,804 basehttp 10704 2380 "GET /soldiers/ HTTP/1.1" 302 0
INFO 2025-04-12 17:39:19,804 basehttp 10704 16520 "GET /events/ HTTP/1.1" 302 0
INFO 2025-04-12 17:39:19,807 basehttp 10704 14488 "GET /he/events/ HTTP/1.1" 200 120
